UC San Diego Health Zip Codes,
Employee Zip Code,% Total In Zip Code
92122,5.627%
92130,4.022%
92037,3.898%
92126,3.564%
92103,3.136%
91913,2.430%
92109,2.392%
92117,2.281%
92129,2.246%
92104,2.204%
92154,1.960%
92101,1.789%
91911,1.772%
92114,1.694%
91910,1.682%
92131,1.656%
92108,1.630%
92111,1.630%
92116,1.596%
92127,1.506%
92128,1.481%
91977,1.378%
92115,1.378%
92071,1.326%
92123,1.309%
91950,1.262%
92024,1.258%
91915,1.228%
92064,1.211%
92093,1.113%
92120,1.095%
92139,1.091%
92105,1.087%
92107,1.044%
92110,1.023%
91942,1.001%
92014,0.971%
92102,0.890%
92020,0.860%
92124,0.852%
92021,0.809%
92009,0.783%
92078,0.757%
91941,0.702%
92119,0.693%
92092,0.672%
92113,0.650%
91945,0.642%
92026,0.629%
92019,0.620%
92040,0.620%
92027,0.591%
92106,0.573%
92056,0.552%
92069,0.543%
92173,0.509%
91914,0.501%
92025,0.488%
92075,0.445%
92121,0.445%
91902,0.436%
92029,0.436%
92057,0.415%
92065,0.402%
91932,0.389%
92011,0.368%
92592,0.368%
92067,0.359%
92054,0.300%
92028,0.295%
92007,0.291%
92010,0.287%
92118,0.287%
92008,0.282%
92081,0.274%
92563,0.274%
92084,0.257%
91901,0.218%
91978,0.205%
92083,0.201%
92591,0.201%
92082,0.197%
92596,0.193%
92562,0.137%
92584,0.137%
92058,0.128%
92161,0.107%
91935,0.081%
92585,0.064%
92595,0.064%
92672,0.056%
92530,0.051%
92251,0.047%
92150,0.043%
92620,0.043%
92270,0.039%
94539,0.039%
95630,0.039%
91962,0.034%
92192,0.034%
92243,0.034%
92544,0.034%
92618,0.034%
92673,0.034%
92677,0.034%
92694,0.034%
91770,0.030%
91951,0.030%
92091,0.030%
92506,0.030%
92586,0.030%
91709,0.026%
91780,0.026%
91912,0.026%
92003,0.026%
92138,0.026%
92168,0.026%
92176,0.026%
92679,0.026%
92683,0.026%
92691,0.026%
92833,0.026%
92880,0.026%
92883,0.026%
91765,0.021%
91906,0.021%
92023,0.021%
92163,0.021%
92324,0.021%
92545,0.021%
92553,0.021%
92583,0.021%
92604,0.021%
92606,0.021%
92630,0.021%
92656,0.021%
92688,0.021%
92704,0.021%
92886,0.021%
93720,0.021%
93727,0.021%
80016,0.017%
83616,0.017%
90027,0.017%
91007,0.017%
91324,0.017%
91367,0.017%
91706,0.017%
91732,0.017%
91739,0.017%
91801,0.017%
92012,0.017%
92013,0.017%
92171,0.017%
92198,0.017%
92336,0.017%
92373,0.017%
92503,0.017%
92532,0.017%
92543,0.017%
92602,0.017%
92603,0.017%
92627,0.017%
92629,0.017%
92675,0.017%
92692,0.017%
92708,0.017%
92804,0.017%
92806,0.017%
92841,0.017%
92881,0.017%
93103,0.017%
94513,0.017%
94587,0.017%
78130,0.013%
80027,0.013%
89011,0.013%
90034,0.013%
90230,0.013%
90278,0.013%
90620,0.013%
90631,0.013%
90745,0.013%
90813,0.013%
91010,0.013%
91301,0.013%
91304,0.013%
91320,0.013%
91326,0.013%
91381,0.013%
91710,0.013%
91722,0.013%
91745,0.013%
91789,0.013%
91963,0.013%
92112,0.013%
92143,0.013%
92159,0.013%
92160,0.013%
92169,0.013%
92172,0.013%
92193,0.013%
92196,0.013%
92201,0.013%
92211,0.013%
92346,0.013%
92354,0.013%
92399,0.013%
92507,0.013%
92509,0.013%
92551,0.013%
92555,0.013%
92590,0.013%
92651,0.013%
92660,0.013%
92808,0.013%
92867,0.013%
92887,0.013%
93036,0.013%
93065,0.013%
93110,0.013%
93312,0.013%
93446,0.013%
93535,0.013%
93550,0.013%
93551,0.013%
94010,0.013%
94122,0.013%
94582,0.013%
95035,0.013%
95376,0.013%
95391,0.013%
95409,0.013%
95628,0.013%
95747,0.013%
95765,0.013%
95818,0.013%
95834,0.013%
98040,0.013%
02459,0.009%
11201,0.009%
11746,0.009%
15217,0.009%
18104,0.009%
20817,0.009%
22314,0.009%
27519,0.009%
27705,0.009%
30314,0.009%
32643,0.009%
33579,0.009%
34119,0.009%
48103,0.009%
52240,0.009%
53717,0.009%
59901,0.009%
60015,0.009%
60647,0.009%
75071,0.009%
75126,0.009%
76108,0.009%
77006,0.009%
77356,0.009%
77407,0.009%
78218,0.009%
78233,0.009%
80209,0.009%
80219,0.009%
83422,0.009%
83702,0.009%
84009,0.009%
84401,0.009%
85255,0.009%
85295,0.009%
85365,0.009%
85395,0.009%
85719,0.009%
85730,0.009%
87108,0.009%
89052,0.009%
89081,0.009%
89101,0.009%
89141,0.009%
89148,0.009%
89149,0.009%
89166,0.009%
89441,0.009%
90002,0.009%
90008,0.009%
90024,0.009%
90035,0.009%
90042,0.009%
90043,0.009%
90045,0.009%
90048,0.009%
90056,0.009%
90064,0.009%
90210,0.009%
90240,0.009%
90241,0.009%
90242,0.009%
90254,0.009%
90266,0.009%
90274,0.009%
90275,0.009%
90504,0.009%
90601,0.009%
90630,0.009%
90640,0.009%
90650,0.009%
90660,0.009%
90703,0.009%
90720,0.009%
90723,0.009%
90803,0.009%
90808,0.009%
90815,0.009%
91006,0.009%
91011,0.009%
91030,0.009%
91106,0.009%
91207,0.009%
91306,0.009%
91321,0.009%
91335,0.009%
91342,0.009%
91343,0.009%
91351,0.009%
91403,0.009%
91405,0.009%
91436,0.009%
91701,0.009%
91733,0.009%
91750,0.009%
91784,0.009%
91790,0.009%
91791,0.009%
91903,0.009%
91916,0.009%
92022,0.009%
92033,0.009%
92036,0.009%
92038,0.009%
92039,0.009%
92142,0.009%
92153,0.009%
92166,0.009%
92174,0.009%
92177,0.009%
92191,0.009%
92223,0.009%
92231,0.009%
92234,0.009%
92247,0.009%
92253,0.009%
92260,0.009%
92374,0.009%
92392,0.009%
92394,0.009%
92407,0.009%
92508,0.009%
92571,0.009%
92582,0.009%
92610,0.009%
92612,0.009%
92648,0.009%
92705,0.009%
92782,0.009%
92805,0.009%
92807,0.009%
92831,0.009%
92840,0.009%
92868,0.009%
92882,0.009%
93003,0.009%
93004,0.009%
93010,0.009%
93101,0.009%
93111,0.009%
93230,0.009%
93306,0.009%
93307,0.009%
93309,0.009%
93536,0.009%
93561,0.009%
94015,0.009%
94087,0.009%
94112,0.009%
94118,0.009%
94403,0.009%
94404,0.009%
94510,0.009%
94521,0.009%
94523,0.009%
94544,0.009%
94560,0.009%
94563,0.009%
94566,0.009%
94601,0.009%
94608,0.009%
94611,0.009%
94619,0.009%
94702,0.009%
94804,0.009%
94965,0.009%
95014,0.009%
95050,0.009%
95070,0.009%
95118,0.009%
95138,0.009%
95148,0.009%
95219,0.009%
95368,0.009%
95377,0.009%
95618,0.009%
95757,0.009%
95817,0.009%
95820,0.009%
95831,0.009%
95842,0.009%
96150,0.009%
97124,0.009%
97220,0.009%
97229,0.009%
97503,0.009%
97703,0.009%
98104,0.009%
98375,0.009%
98382,0.009%
98662,0.009%
98682,0.009%
99801,0.009%
00736,0.004%
01069,0.004%
01731,0.004%
01832,0.004%
01938,0.004%
02118,0.004%
02132,0.004%
02138,0.004%
02139,0.004%
02143,0.004%
02155,0.004%
02176,0.004%
02420,0.004%
02458,0.004%
02474,0.004%
02492,0.004%
02559,0.004%
02777,0.004%
02790,0.004%
02885,0.004%
02891,0.004%
02908,0.004%
02909,0.004%
03581,0.004%
03722,0.004%
03857,0.004%
04210,0.004%
04422,0.004%
04530,0.004%
05462,0.004%
05482,0.004%
05743,0.004%
06106,0.004%
06276,0.004%
06385,0.004%
06483,0.004%
06512,0.004%
06519,0.004%
06660,0.004%
06855,0.004%
06903,0.004%
07002,0.004%
07031,0.004%
07078,0.004%
07087,0.004%
07632,0.004%
07738,0.004%
07746,0.004%
08053,0.004%
08540,0.004%
08820,0.004%
08844,0.004%
08873,0.004%
10009,0.004%
10017,0.004%
10019,0.004%
10021,0.004%
10025,0.004%
10033,0.004%
10065,0.004%
10538,0.004%
10583,0.004%
10595,0.004%
11385,0.004%
11501,0.004%
11777,0.004%
11778,0.004%
11788,0.004%
12155,0.004%
12508,0.004%
12525,0.004%
12550,0.004%
12601,0.004%
13156,0.004%
13439,0.004%
13491,0.004%
13820,0.004%
14467,0.004%
14607,0.004%
14850,0.004%
15071,0.004%
15143,0.004%
15219,0.004%
15224,0.004%
15228,0.004%
15243,0.004%
15853,0.004%
15931,0.004%
17331,0.004%
17543,0.004%
17552,0.004%
17857,0.004%
18045,0.004%
18064,0.004%
18328,0.004%
18353,0.004%
18436,0.004%
19003,0.004%
19103,0.004%
19128,0.004%
19149,0.004%
19154,0.004%
19380,0.004%
19709,0.004%
19966,0.004%
20010,0.004%
20011,0.004%
20024,0.004%
20137,0.004%
20147,0.004%
20758,0.004%
20877,0.004%
21043,0.004%
21093,0.004%
21212,0.004%
21224,0.004%
21231,0.004%
22041,0.004%
22060,0.004%
22101,0.004%
22102,0.004%
22201,0.004%
22204,0.004%
22214,0.004%
22551,0.004%
22903,0.004%
22932,0.004%
23059,0.004%
23233,0.004%
23322,0.004%
23455,0.004%
23456,0.004%
23693,0.004%
24340,0.004%
24558,0.004%
27278,0.004%
27377,0.004%
27514,0.004%
27516,0.004%
27517,0.004%
27521,0.004%
27576,0.004%
27604,0.004%
27615,0.004%
27713,0.004%
27889,0.004%
28016,0.004%
28205,0.004%
28209,0.004%
28213,0.004%
28277,0.004%
28306,0.004%
28394,0.004%
28787,0.004%
28791,0.004%
29107,0.004%
29229,0.004%
29455,0.004%
29461,0.004%
29902,0.004%
30004,0.004%
30017,0.004%
30030,0.004%
30033,0.004%
30038,0.004%
30041,0.004%
30067,0.004%
30075,0.004%
30080,0.004%
30097,0.004%
30127,0.004%
30214,0.004%
30253,0.004%
30308,0.004%
30310,0.004%
30331,0.004%
30401,0.004%
30606,0.004%
30633,0.004%
31329,0.004%
31419,0.004%
31904,0.004%
31907,0.004%
32065,0.004%
32137,0.004%
32205,0.004%
32223,0.004%
32226,0.004%
32259,0.004%
32308,0.004%
32408,0.004%
32566,0.004%
32571,0.004%
32578,0.004%
32606,0.004%
32609,0.004%
32713,0.004%
32826,0.004%
32907,0.004%
32926,0.004%
33009,0.004%
33014,0.004%
33035,0.004%
33060,0.004%
33068,0.004%
33069,0.004%
33179,0.004%
33312,0.004%
33315,0.004%
33411,0.004%
33417,0.004%
33534,0.004%
33545,0.004%
33603,0.004%
33607,0.004%
33609,0.004%
33615,0.004%
33619,0.004%
33711,0.004%
33881,0.004%
33917,0.004%
34210,0.004%
34211,0.004%
34219,0.004%
34608,0.004%
34677,0.004%
34761,0.004%
34787,0.004%
34953,0.004%
35209,0.004%
35213,0.004%
35223,0.004%
35243,0.004%
36093,0.004%
36301,0.004%
36605,0.004%
36608,0.004%
36879,0.004%
37064,0.004%
37069,0.004%
37076,0.004%
37128,0.004%
37204,0.004%
37214,0.004%
37221,0.004%
37360,0.004%
37721,0.004%
38104,0.004%
38134,0.004%
38202,0.004%
38355,0.004%
38363,0.004%
39208,0.004%
39402,0.004%
39482,0.004%
39553,0.004%
39564,0.004%
39837,0.004%
41016,0.004%
41940,0.004%
42116,0.004%
43023,0.004%
43046,0.004%
43081,0.004%
43123,0.004%
43221,0.004%
43232,0.004%
44126,0.004%
44136,0.004%
44256,0.004%
44720,0.004%
45140,0.004%
45243,0.004%
45247,0.004%
45347,0.004%
45440,0.004%
45694,0.004%
46033,0.004%
46038,0.004%
46122,0.004%
46123,0.004%
46321,0.004%
46375,0.004%
46383,0.004%
46394,0.004%
47112,0.004%
47906,0.004%
48027,0.004%
48105,0.004%
48154,0.004%
48180,0.004%
48188,0.004%
48189,0.004%
48198,0.004%
48204,0.004%
48208,0.004%
48228,0.004%
48234,0.004%
48335,0.004%
48423,0.004%
48446,0.004%
49331,0.004%
50021,0.004%
50310,0.004%
50543,0.004%
51357,0.004%
52223,0.004%
52333,0.004%
53066,0.004%
53130,0.004%
53132,0.004%
53211,0.004%
53212,0.004%
53217,0.004%
53590,0.004%
53711,0.004%
53719,0.004%
53809,0.004%
53913,0.004%
54143,0.004%
54601,0.004%
55068,0.004%
55125,0.004%
55350,0.004%
55403,0.004%
55413,0.004%
55447,0.004%
55987,0.004%
56377,0.004%
57108,0.004%
57701,0.004%
57703,0.004%
57783,0.004%
58128,0.004%
59012,0.004%
59718,0.004%
59937,0.004%
60004,0.004%
60093,0.004%
60098,0.004%
60137,0.004%
60148,0.004%
60201,0.004%
60202,0.004%
60439,0.004%
60462,0.004%
60465,0.004%
60523,0.004%
60558,0.004%
60559,0.004%
60608,0.004%
60618,0.004%
60620,0.004%
60622,0.004%
60630,0.004%
60642,0.004%
60645,0.004%
60656,0.004%
61050,0.004%
61275,0.004%
61614,0.004%
61706,0.004%
61719,0.004%
61822,0.004%
62049,0.004%
62948,0.004%
63017,0.004%
63108,0.004%
63132,0.004%
63640,0.004%
63703,0.004%
64055,0.004%
64079,0.004%
64106,0.004%
64152,0.004%
64155,0.004%
65717,0.004%
66044,0.004%
66048,0.004%
66223,0.004%
66224,0.004%
67217,0.004%
68046,0.004%
68116,0.004%
68133,0.004%
70005,0.004%
70124,0.004%
70570,0.004%
72011,0.004%
72076,0.004%
72118,0.004%
72205,0.004%
72714,0.004%
73026,0.004%
73034,0.004%
73044,0.004%
73105,0.004%
73159,0.004%
74008,0.004%
74137,0.004%
75009,0.004%
75022,0.004%
75034,0.004%
75039,0.004%
75072,0.004%
75075,0.004%
75078,0.004%
75082,0.004%
75089,0.004%
75093,0.004%
75201,0.004%
75224,0.004%
75454,0.004%
75701,0.004%
75783,0.004%
76021,0.004%
76065,0.004%
76117,0.004%
76123,0.004%
76244,0.004%
76247,0.004%
76351,0.004%
76426,0.004%
76633,0.004%
76710,0.004%
77004,0.004%
77007,0.004%
77019,0.004%
77054,0.004%
77069,0.004%
77084,0.004%
77225,0.004%
77338,0.004%
77339,0.004%
77345,0.004%
77357,0.004%
77365,0.004%
77379,0.004%
77381,0.004%
77384,0.004%
77396,0.004%
77441,0.004%
77478,0.004%
77479,0.004%
77546,0.004%
77566,0.004%
77584,0.004%
77586,0.004%
77591,0.004%
77807,0.004%
77845,0.004%
78010,0.004%
78028,0.004%
78112,0.004%
78132,0.004%
78155,0.004%
78222,0.004%
78229,0.004%
78254,0.004%
78258,0.004%
78619,0.004%
78664,0.004%
78726,0.004%
78753,0.004%
79924,0.004%
79932,0.004%
79936,0.004%
79938,0.004%
80005,0.004%
80017,0.004%
80110,0.004%
80111,0.004%
80113,0.004%
80126,0.004%
80129,0.004%
80130,0.004%
80202,0.004%
80206,0.004%
80210,0.004%
80212,0.004%
80220,0.004%
80226,0.004%
80239,0.004%
80305,0.004%
80308,0.004%
80503,0.004%
80516,0.004%
80547,0.004%
80549,0.004%
80550,0.004%
80831,0.004%
80906,0.004%
80908,0.004%
80920,0.004%
80922,0.004%
81005,0.004%
81006,0.004%
81007,0.004%
81301,0.004%
81632,0.004%
82001,0.004%
83201,0.004%
83634,0.004%
83646,0.004%
83686,0.004%
83705,0.004%
83821,0.004%
84010,0.004%
84043,0.004%
84049,0.004%
84050,0.004%
84067,0.004%
84088,0.004%
84094,0.004%
84098,0.004%
84120,0.004%
84123,0.004%
84128,0.004%
84341,0.004%
84523,0.004%
84745,0.004%
85012,0.004%
85013,0.004%
85022,0.004%
85043,0.004%
85054,0.004%
85122,0.004%
85132,0.004%
85138,0.004%
85143,0.004%
85226,0.004%
85249,0.004%
85251,0.004%
85260,0.004%
85268,0.004%
85284,0.004%
85296,0.004%
85323,0.004%
85339,0.004%
85364,0.004%
85381,0.004%
85388,0.004%
85641,0.004%
85650,0.004%
85653,0.004%
85701,0.004%
85710,0.004%
85712,0.004%
85716,0.004%
85741,0.004%
85750,0.004%
86004,0.004%
86323,0.004%
86442,0.004%
87111,0.004%
87505,0.004%
87529,0.004%
87544,0.004%
87801,0.004%
88011,0.004%
89048,0.004%
89074,0.004%
89084,0.004%
89115,0.004%
89117,0.004%
89118,0.004%
89129,0.004%
89135,0.004%
89139,0.004%
89144,0.004%
89178,0.004%
89183,0.004%
89434,0.004%
89436,0.004%
89460,0.004%
89503,0.004%
90000,0.004%
90006,0.004%
90011,0.004%
90012,0.004%
90013,0.004%
90015,0.004%
90017,0.004%
90020,0.004%
90022,0.004%
90025,0.004%
90026,0.004%
90031,0.004%
90032,0.004%
90038,0.004%
90039,0.004%
90040,0.004%
90041,0.004%
90044,0.004%
90046,0.004%
90065,0.004%
90066,0.004%
90077,0.004%
90201,0.004%
90212,0.004%
90220,0.004%
90232,0.004%
90245,0.004%
90247,0.004%
90249,0.004%
90250,0.004%
90260,0.004%
90272,0.004%
90280,0.004%
90291,0.004%
90292,0.004%
90405,0.004%
90502,0.004%
90503,0.004%
90505,0.004%
90604,0.004%
90621,0.004%
90623,0.004%
90625,0.004%
90638,0.004%
90670,0.004%
90680,0.004%
90710,0.004%
90712,0.004%
90713,0.004%
90744,0.004%
90746,0.004%
90802,0.004%
90805,0.004%
90806,0.004%
90810,0.004%
91016,0.004%
91105,0.004%
91201,0.004%
91203,0.004%
91208,0.004%
91214,0.004%
91311,0.004%
91340,0.004%
91350,0.004%
91354,0.004%
91361,0.004%
91362,0.004%
91364,0.004%
91384,0.004%
91401,0.004%
91423,0.004%
91505,0.004%
91601,0.004%
91602,0.004%
91604,0.004%
91708,0.004%
91711,0.004%
91724,0.004%
91737,0.004%
91741,0.004%
91744,0.004%
91748,0.004%
91754,0.004%
91755,0.004%
91764,0.004%
91767,0.004%
91773,0.004%
91776,0.004%
91786,0.004%
91803,0.004%
91908,0.004%
91917,0.004%
91920,0.004%
91933,0.004%
91943,0.004%
91946,0.004%
91979,0.004%
91980,0.004%
92015,0.004%
92016,0.004%
92017,0.004%
92018,0.004%
92030,0.004%
92046,0.004%
92048,0.004%
92052,0.004%
92086,0.004%
92094,0.004%
92134,0.004%
92145,0.004%
92165,0.004%
92170,0.004%
92195,0.004%
92203,0.004%
92225,0.004%
92227,0.004%
92232,0.004%
92233,0.004%
92244,0.004%
92259,0.004%
92262,0.004%
92264,0.004%
92307,0.004%
92308,0.004%
92310,0.004%
92314,0.004%
92319,0.004%
92320,0.004%
92335,0.004%
92337,0.004%
92352,0.004%
92359,0.004%
92376,0.004%
92377,0.004%
92395,0.004%
92404,0.004%
92405,0.004%
92501,0.004%
92504,0.004%
92505,0.004%
92539,0.004%
92570,0.004%
92587,0.004%
92593,0.004%
92614,0.004%
92626,0.004%
92646,0.004%
92653,0.004%
92663,0.004%
92676,0.004%
92703,0.004%
92763,0.004%
92780,0.004%
92801,0.004%
92802,0.004%
92821,0.004%
92843,0.004%
92844,0.004%
92846,0.004%
92861,0.004%
92865,0.004%
92869,0.004%
92870,0.004%
92878,0.004%
92879,0.004%
92902,0.004%
93063,0.004%
93109,0.004%
93117,0.004%
93210,0.004%
93212,0.004%
93240,0.004%
93241,0.004%
93245,0.004%
93263,0.004%
93291,0.004%
93292,0.004%
93304,0.004%
93305,0.004%
93308,0.004%
93311,0.004%
93314,0.004%
93405,0.004%
93420,0.004%
93434,0.004%
93543,0.004%
93611,0.004%
93626,0.004%
93630,0.004%
93635,0.004%
93636,0.004%
93637,0.004%
93638,0.004%
93646,0.004%
93651,0.004%
93654,0.004%
93711,0.004%
93722,0.004%
93723,0.004%
93726,0.004%
93730,0.004%
93906,0.004%
93908,0.004%
93912,0.004%
93927,0.004%
94024,0.004%
94044,0.004%
94063,0.004%
94080,0.004%
94110,0.004%
94114,0.004%
94115,0.004%
94127,0.004%
94133,0.004%
94158,0.004%
94303,0.004%
94304,0.004%
94306,0.004%
94401,0.004%
94502,0.004%
94503,0.004%
94506,0.004%
94509,0.004%
94515,0.004%
94517,0.004%
94518,0.004%
94520,0.004%
94530,0.004%
94531,0.004%
94537,0.004%
94538,0.004%
94541,0.004%
94549,0.004%
94550,0.004%
94551,0.004%
94552,0.004%
94555,0.004%
94558,0.004%
94561,0.004%
94564,0.004%
94568,0.004%
94591,0.004%
94596,0.004%
94605,0.004%
94610,0.004%
94612,0.004%
94703,0.004%
94709,0.004%
94945,0.004%
94952,0.004%
94960,0.004%
95008,0.004%
95033,0.004%
95037,0.004%
95051,0.004%
95054,0.004%
95065,0.004%
95066,0.004%
95120,0.004%
95122,0.004%
95123,0.004%
95128,0.004%
95129,0.004%
95202,0.004%
95204,0.004%
95209,0.004%
95242,0.004%
95304,0.004%
95315,0.004%
95330,0.004%
95340,0.004%
95341,0.004%
95345,0.004%
95348,0.004%
95351,0.004%
95357,0.004%
95380,0.004%
95382,0.004%
95403,0.004%
95404,0.004%
95407,0.004%
95437,0.004%
95448,0.004%
95543,0.004%
95608,0.004%
95616,0.004%
95624,0.004%
95661,0.004%
95667,0.004%
95670,0.004%
95678,0.004%
95687,0.004%
95691,0.004%
95746,0.004%
95758,0.004%
95762,0.004%
95814,0.004%
95819,0.004%
95822,0.004%
95824,0.004%
95826,0.004%
95827,0.004%
95828,0.004%
95833,0.004%
95835,0.004%
95926,0.004%
95928,0.004%
95945,0.004%
95959,0.004%
95969,0.004%
96069,0.004%
96080,0.004%
96114,0.004%
96122,0.004%
96814,0.004%
96913,0.004%
96915,0.004%
97031,0.004%
97035,0.004%
97205,0.004%
97210,0.004%
97212,0.004%
97213,0.004%
97218,0.004%
97225,0.004%
97370,0.004%
97403,0.004%
97408,0.004%
97439,0.004%
97702,0.004%
98004,0.004%
98006,0.004%
98027,0.004%
98033,0.004%
98037,0.004%
98045,0.004%
98056,0.004%
98058,0.004%
98102,0.004%
98103,0.004%
98105,0.004%
98115,0.004%
98121,0.004%
98122,0.004%
98226,0.004%
98231,0.004%
98272,0.004%
98281,0.004%
98338,0.004%
98360,0.004%
98503,0.004%
98597,0.004%
98604,0.004%
98665,0.004%
98686,0.004%
98801,0.004%
99037,0.004%
99218,0.004%
99354,0.004%
99505,0.004%
99508,0.004%
99705,0.004%
99709,0.004%
